title,artist,album_art_url
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02c926fe88acb49e4226e347c7
Royals,Lorde,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02e19c63f62581ab73a6589382
Humble.,Kendrick Lamar,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e028b52c6b9bc4e43d873869699
Easy On Me,Adele,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02c6b577e4c4a6d326354a89f7
Life Is Good,Future Featuring Drake,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e028a01c7b77a34378a62f46402
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02d77a9a738c99b8c4f7a7c3ee
Cheerleader,OMI,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e0285ca00029c70d6b5b8372e96
Stronger,Kanye West,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e0226f7f19c7f0381e56156c94a
Lucid Dreams,Juice WRLD,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02f7db43292a6a99b21b51d5b4
Lose Control,Teddy Swims,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02ebea8d4457c4db5b2088f287
Set Fire To The Rain,Adele,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e027e7e5dd9d1ab19fcded8a17f
Intentions,Justin Bieber Featuring Quavo,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e027fe4a82a08c4f0decbeddbc6
Need You Now,Lady Antebellum,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02968053273cfe7949fd91f45b
The Lazy Song,Bruno Mars,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e028a9eb5a1f701d1d367a5ea10
Don't Start Now,Dua Lipa,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02c88bae7846e62a8ba59ee0bd
Fireflies,Owl City,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02785d4e702802da500fc78b32
High Hopes,Panic! At The Disco,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02c5148520a59be191eea16989
Only Girl (In The World),Rihanna,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0231548865f7c729290b96c794
Lollipop,Lil Wayne Featuring Static Major,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0202a999c3a283b5392e57737d
Industry Baby,Lil Nas X & Jack Harlow,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02f27e4bdc58ebe249a6b90da0
Last Friday Night (T.G.I.F.),Katy Perry,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02d20c38f295039520d688a888
Beautiful Girls,Sean Kingston,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e026a45d20e414fbc456ecea553
Just Give Me A Reason,P!nk Featuring Nate Ruess,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e0224a1ac503b55e6eef9a7bb8c
What Makes You Beautiful,One Direction,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e024a5584795dc73860653a9a3e
Smells Like Teen Spirit,Nirvana,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02444f118a9126af9e1483dcc0
"""Thank U, Next""",Ariana Grande,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e0256ac7b86e090f307e218e9c8
How You Remind Me,Nickelback,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02699a422d25adc550dc5aa11c
Earned It (Fifty Shades Of Grey),The Weeknd,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e027fcead687e99583072cc217b
With You,Chris Brown,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0239509cc5eadf803928f2f167
Psycho,Post Malone Featuring Ty Dolla $ign,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02b1c4b76e23414c9f20242268
