title,artist,spotify_url,duration_ms,release_year
Can't Feel My Face,The Weeknd,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,213520,2015.0
Give Me Everything,"""Pitbull Featuring Ne-Yo, Afrojack & Nayer""",https://open.spotify.com/track/4QNpBfC0zvjKqPJcyqBy9W,252306,2011.0
I Like It,"""Cardi B, Bad Bunny & J Balvin""",https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,253390,2018.0
Unforgettable,French Montana Featuring Swae Lee,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,233901,2017.0
Sweet Child O' Mine,Guns N' Roses,https://open.spotify.com/track/7o2CTH4ctstm8TNelqjb51,354520,1987.0
Without Me,Halsey,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,201660,2018.0
Dance Monkey,Tones And I,https://open.spotify.com/track/2XU0oxnq2qxCpomAAuJY8K,209438,2019.0
What Do You Mean?,Justin Bieber,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI,205680,2015.0
Hello,Adele,https://open.spotify.com/track/1MDoll6jK4rrk2BcFRP5i7,295502,2015.0
Happy,Pharrell Williams,https://open.spotify.com/track/5b88tNINg4Q4nrRbrCXUmg,232720,2014.0
Treat You Better,Shawn Mendes,https://open.spotify.com/track/76t5B0ttSAje5KHmQbv88t,187973,2016.0
Hey Ya!,OutKast,https://open.spotify.com/track/2PpruBYCo4H7WOBJ7Q2EwM,235213,2003.0
Smack That,Akon Featuring Eminem,https://open.spotify.com/track/3qKGvSu1inEZKwYQnMavNA,212360,2006.0
Demons,Imagine Dragons,https://open.spotify.com/track/2Oehrcv4Kov0SuIgWyQY9e,175200,2012.0
Say You Won't Let Go,James Arthur,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,211477,2016.0
Take Me To Church,Hozier,https://open.spotify.com/track/2EiGECydkS2M8OCcRHQZhT,241688,2014.0
Without Me,Eminem,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk,290320,2002.0
Attention,Charlie Puth,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50,208786,2018.0
Pumped Up Kicks,Foster the People,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT,239600,2011.0
Stitches,Shawn Mendes,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q,206880,2015.0
Love Me Like You Do,Ellie Goulding,https://open.spotify.com/track/3zHq9ouUJQFQRf3cm1rRLu,252534,2015.0
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,https://open.spotify.com/track/3AYcyxEACnmE6d96RPubID,235613,2012.0
Single Ladies (Put A Ring On It),Beyonce,https://open.spotify.com/track/557un1HgwYMuqfWGSTmnxw,192586,2008.0
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH,113000,2019.0
Bad Habits,Ed Sheeran,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE,231041,2021.0
Can't Stop The Feeling!,Justin Timberlake,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,236001,2016.0
Espresso,Sabrina Carpenter,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75,175459,2024.0
Cold Heart (PNAU Remix),Elton John & Dua Lipa,https://open.spotify.com/track/4gcD056im8FrahECIaTV70,202735,2021.0
Candy Shop,50 Cent Featuring Olivia,https://open.spotify.com/track/5D2mYZuzcgjpchVY1pmTPh,209106,2005.0
